Company Name, ,Class 10 Percentage,Class 12 Percentage,Graduation Percentage,Degree,Additional Qualifications,Extra Courses,Specialisation,Languages Known,Skills,Past Experience (months),Preferred Work Location,Achievements,Projects,Competitions,Publications,Patents,Internship Stipend (?/month),Internship Duration (months),Department,Internship Type,Contact Email,Contact Phone,Application Deadline
SAINT-GOBAIN INDIA PRIVATE LIMITED,"Thiruvananthapuram, Kerala",79,79.3,74.56,B.A.,Financial Modeling Certificate,,Biotechnology,English; Tamil,Communication; HTML/CSS,0,"Thiruvananthapuram, Kerala",Published a project report,Supply chain dashboard; IoT based monitoring system,Case Study Competition,Journal article on Renewable Energy,Patent on Sensor Design,27482,11,Engineering,Hybrid,uchakrabarti@kumar.com,5540952141,2025-11-04
TOPCON SOKKIA INDIA PRIVATE LIMITED,"Lucknow, Uttar Pradesh",66,92.8,80.02,Bsc.,Oracle Certified,AWS Fundamentals,Finance,Tamil,SQL; Data Analysis; Customer Service; Power BI; Communication,0,"Gurugram, Haryana",Published a project report,Customer segmentation analysis,Math Olympiad State Level,Journal article on Renewable Energy,Patent on Sensor Design,5106,7,Consulting,Hybrid,ojas44@sangha.com,1237134700,2025-10-22
LAURUS LABS LIMITED,"Pune, Maharashtra",87,70.82,53.88,B.E.,Financial Modeling Certificate,AWS Fundamentals; Udemy: Web Development,Electronics,Oriya; Kannada,Machine Learning; Tableau; Power BI; MS Excel; Customer Service,6,"Kolkata, West Bengal",Published a project report,Sales forecasting model; NLP sentiment analysis on reviews,Coding Contest Top 10,Whitepaper on Supply Chain,Patent on Sensor Design,30851,7,R&D,Remote,advika48@kaul.com,2134028600,2025-12-24
INGRAM MICRO INDIA PRIVATE LIMITED,"Chennai, Tamil Nadu",80,71.77,82.64,B.E.,Certified Data Analyst,SAP Basics; Udemy: Web Development,Marketing,English; Oriya; Malayalam,Sales; Power BI; MS Excel,24,"Bengaluru, Karnataka",Won college hackathon,Energy consumption optimization project,Business Plan Runner-up,Whitepaper on Supply Chain,Patent on Sensor Design,7784,1,Engineering,Onsite,chauhanshalv@talwar.com,2786105089,2026-02-08
THE CLEARING CORPORATION OF INDIA LIMITED,"Gurugram, Haryana",89,81.95,58,B.Com,None,AWS Fundamentals,Biotechnology,Marathi; Telugu; Kannada,Machine Learning; Customer Service; Data Analysis; Problem Solving,0,"Gurugram, Haryana",Internship at local startup,Supply chain dashboard,Business Plan Runner-up,No publications,Patent on Sensor Design,26837,5,R&D,Hybrid,tsoni@gulati.com,6574508235,2026-01-02
SBI GENERAL INSURANCE COMPANY LIMITED,"Noida, Uttar Pradesh",95,71.32,79.92,Diploma,Lean Six Sigma Yellow Belt,None,Finance,Tamil; Malayalam,JavaScript; HTML/CSS; C++,24,"Noida, Uttar Pradesh",Published a project report,Sales forecasting model,Hackathon Winner,Journal article on Renewable Energy,Patent pending on Algorithm,6565,11,Consulting,Hybrid,boraseher@bava.com,7851033990,2025-12-29
TATA COMMUNICATIONS LIMITED,"Gurugram, Haryana",100,67.25,75.8,B.Tech,None,NPTEL: Machine Learning,Computer Science,Kannada; Bengali,SQL; Marketing; Data Analysis,0,"Noida, Uttar Pradesh",Published a project report,Automated invoice processing,Design Challenge Participant,No publications,Patent pending on Algorithm,27880,1,R&D,Remote,rvaidya@chhabra.com,3520418828,2026-02-27
TATA POWER DELHI DISTRIBUTION LIMITED,"Lucknow, Uttar Pradesh",0,65.96,52.95,B.Com,Certified Data Analyst,AWS Fundamentals; Google: Digital Marketing,Chemical,Oriya; Kannada,R; C++,12,"New Delhi, Delhi",No notable achievements,Sales forecasting model; E-commerce recommendation engine,Hackathon Winner,Journal article on Renewable Energy,No patents,9518,4,Finance,Hybrid,divyanshbir@kuruvilla.com,5971797398,2026-01-19
GODREJ SEEDS & GENETICS LIMITED,"Chennai, Tamil Nadu",80,56.34,71.98,B.Tech,Oracle Certified,None,Mechanical,Telugu; English; Marathi,Data Analysis; Customer Service; SQL; Tableau; Python,0,"Ahmedabad, Gujarat",Developed a forecasting model,E-commerce recommendation engine,Hackathon Winner,Whitepaper on Supply Chain,No patents,24673,3,Finance,Onsite,erajagopalan@mahal.com,7765171064,2026-03-09
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,"Lucknow, Uttar Pradesh",71,60.46,73.6,B.A.,Lean Six Sigma Yellow Belt,IBM: Data Analyst; Advanced Excel,Biotechnology,Tamil,Sales; SQL; Problem Solving; Tableau,6,"Mumbai, Maharashtra",Developed a forecasting model,Customer segmentation analysis,Hackathon Winner,Whitepaper on Supply Chain,Patent on Sensor Design,18677,9,Design,Hybrid,behlmohanlal@walia.com,9347467767,2025-12-26
KOTAK MAHINDRA PRIME LIMITED,"New Delhi, Delhi",68,76.09,84.27,B.A.,Financial Modeling Certificate,AWS Fundamentals,Marketing,Marathi,Python; Problem Solving; JavaScript; Java; Tableau,12,"Bhopal, Madhya Pradesh",Published a project report,Sales forecasting model; Automated invoice processing,Case Study Competition,Conference Paper on ML,No patents,8902,9,Engineering,Remote,singhalnayantara@dhingra.com,7038102467,2025-12-29
BRAHMAPUTRA CRACKER AND POLYMER LIMITED,"Hyderabad, Telangana",68,94.47,65.94,B.A.,Lean Six Sigma Yellow Belt,None,Biotechnology,Marathi,Marketing; R,24,"Lucknow, Uttar Pradesh",Internship at local startup,Customer segmentation analysis; Energy consumption optimization project,Design Challenge Participant,Whitepaper on Supply Chain,Patent on Sensor Design,11173,11,Engineering,Onsite,reddyamira@banerjee.net,3519229561,2026-01-24
PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Bhopal, Madhya Pradesh",62,0.21,89,BBA,Certified Data Analyst,IBM: Data Analyst; Google: Digital Marketing,Electronics,English; Kannada,SQL; MS Excel; Communication,6,"Bengaluru, Karnataka",Internship at local startup,Mobile app for local services; Automated invoice processing,Coding Contest Top 10,Conference Paper on ML,No patents,11394,8,Data Analytics,Remote,indranil18@de.com,52430508,2025-11-29
PATANJALI AYURVED LIMITED,"Mumbai, Maharashtra",66,74.04,56.71,B.Com,Cisco CCNA,None,Civil,Oriya,Java; HTML/CSS,12,"Jaipur, Rajasthan",Won college hackathon,NLP sentiment analysis on reviews,Hackathon Winner,Magazine article on Finance,No patents,6860,7,Data Analytics,Remote,daminivarma@atwal.biz,8161799076,2025-11-05
MSPL LIMITED,"Bhopal, Madhya Pradesh",85,58.74,60.51,B.Sc.,Cisco CCNA,Google: Digital Marketing,Electronics,Bengali; Oriya; Telugu,Customer Service; Problem Solving,0,"Jaipur, Rajasthan",Developed a forecasting model,Mobile app for local services; Chatbot for FAQs,Design Challenge Participant,Whitepaper on Supply Chain,Patent pending on Algorithm,11581,6,R&D,Remote,aradhyayadav@mane.com,8045609817,2026-02-13
LIC HOUSING FINANCE LTD,"New Delhi, Delhi",89,72.04,71.72,BBA,None,Advanced Excel; NPTEL: Machine Learning,Biotechnology,Punjabi; Marathi,Communication; Machine Learning; Marketing; Power BI; C++,12,"Bhopal, Madhya Pradesh",Developed a forecasting model,Chatbot for FAQs; Energy consumption optimization project,Coding Contest Top 10,No publications,Patent pending on Algorithm,174,7,R&D,Remote,babuadah@ganesan.org,219799974,2026-01-26
JSW STEEL COATED PRODUCTS LIMITED,"Jaipur, Rajasthan",80,76.16,59.67,B.E.,Certified Data Analyst,IBM: Data Analyst; Google: Digital Marketing,Biotechnology,Bengali; Tamil,Customer Service; Marketing; SQL; C++,0,"Jaipur, Rajasthan",Won college hackathon,E-commerce recommendation engine; Energy consumption optimization project,None,Journal article on Renewable Energy,Patent pending on Algorithm,30967,3,Consulting,Hybrid,tgulati@thaker.com,3000217205,2025-12-16
INFOSYS BPM LIMITED,"Hyderabad, Telangana",64,93.76,55.32,B.Com,Cisco CCNA,Udemy: Web Development,Mechanical,Malayalam; Kannada; Bengali,SQL; Machine Learning,6,"Pune, Maharashtra",Published a project report,Supply chain dashboard; Energy consumption optimization project,Math Olympiad State Level,No publications,Patent on Process Optimization,17347,4,Consulting,Onsite,madhupbalan@vig.com,8028235313,2025-10-13
AU SMALL FINANCE BANK LIMITED,"Thiruvananthapuram, Kerala",82,94.64,50.2,B.A.,Cisco CCNA,Google: Digital Marketing,Computer Science,English; Tamil; Gujarati,Sales; C++,6,"Gurugram, Haryana",Developed a forecasting model,NLP sentiment analysis on reviews; IoT based monitoring system,Business Plan Runner-up,Journal article on Renewable Energy,Patent on Process Optimization,16875,9,Operations,Remote,mastertara@sagar.info,4374803176,2025-11-23
BALRAMPUR CHINI MILLS LTD,"Jaipur, Rajasthan",78,63.99,80.13,Bsc.,Financial Modeling Certificate,Google: Digital Marketing; Advanced Excel,Chemical,Hindi,Machine Learning; HTML/CSS,6,"Gurugram, Haryana",Published a project report,Supply chain dashboard,Business Plan Runner-up,Journal article on Renewable Energy,Patent on Sensor Design,23892,3,HR,Onsite,purab59@dyal.com,5034154369,2025-10-26
RBL BANK LIMITED,"Hyderabad, Telangana",80,83.28,81.8,Diploma,None,,Mechanical,Kannada; Hindi,C++; Sales,0,"Lucknow, Uttar Pradesh",Won college hackathon,Energy consumption optimization project; Chatbot for FAQs,Math Olympiad State Level,Whitepaper on Supply Chain,Patent pending on Algorithm,24482,3,IT,Onsite,aniruddh35@sabharwal-salvi.com,6957300409,2026-01-31
B. G. SHIRKE CONSTRUCTION TECHNOLOGY PRIVATE LIMITED,"Mumbai, Maharashtra",63,80.06,70.42,B.A.,Financial Modeling Certificate,Coursera: Data Science,Biotechnology,Marathi; Telugu,Marketing; Communication; HTML/CSS; Customer Service; C++,0,"Bengaluru, Karnataka",No notable achievements,Mobile app for local services; Supply chain dashboard,Case Study Competition,No publications,No patents,14931,1,Marketing,Hybrid,kraju@dutta.info,3299452027,2026-01-16
URANIUM CORPORATION OF INDIA LIMITED,"Mumbai, Maharashtra",66,94,53.59,B.Sc.,Financial Modeling Certificate,SAP Basics,Electrical,Marathi; Punjabi; Oriya,Sales; MS Excel; Problem Solving; Tableau,6,"Ahmedabad, Gujarat",Internship at local startup,Mobile app for local services; E-commerce recommendation engine,Case Study Competition,Journal article on Renewable Energy,Patent pending on Algorithm,24105,10,IT,Onsite,brahmbhattvanya@chowdhury.com,6462245728,2025-10-27
JINDAL SAW LIMITED,"Kolkata, West Bengal",95,73.53,63.5,B.E.,Oracle Certified,AWS Fundamentals; SAP Basics,Finance,Punjabi; Hindi,Sales; Communication; HTML/CSS,12,"Bhopal, Madhya Pradesh",Internship at local startup,Energy consumption optimization project,Math Olympiad State Level,Journal article on Renewable Energy,Patent pending on Algorithm,28240,9,Operations,Remote,vanya86@bhatnagar-karnik.org,4986009017,2025-12-29
ADANI GANGAVARAM PORT LIMITED,"Bengaluru, Karnataka",98,89.27,58.04,BBA,Lean Six Sigma Yellow Belt,,Computer Science,Tamil,Communication; Machine Learning; Java; Problem Solving; Tableau,0,"Chennai, Tamil Nadu",Published a project report,Customer segmentation analysis; Supply chain dashboard,Business Plan Runner-up,No publications,Patent on Sensor Design,27102,1,Consulting,Remote,qrajagopalan@kumer-dua.biz,5515212935,2026-02-04
JK PAPER LIMITED,"Visakhapatnam, Andhra Pradesh",74,82.58,86.47,B.Tech,Oracle Certified,,Computer Science,Hindi; Gujarati; Marathi,JavaScript; C++; Data Analysis,24,"Kolkata, West Bengal",Published a project report,Mobile app for local services; NLP sentiment analysis on reviews,Hackathon Winner,Journal article on Renewable Energy,Patent on Process Optimization,27021,7,HR,Hybrid,himmatsheth@sekhon.com,5673692110,2025-10-23
HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,"Mumbai, Maharashtra",94,60.62,85.12,B.Com,Cisco CCNA,None,Mechanical,Bengali; Telugu; Malayalam,Java; Python; Data Analysis; Marketing; Tableau,6,"Gurugram, Haryana",No notable achievements,Customer segmentation analysis,None,Whitepaper on Supply Chain,Patent on Sensor Design,27375,9,Data Analytics,Hybrid,anay46@dubey.net,2308432627,2025-11-13
WHIRLPOOL OF INDIA LIMITED,"Bhopal, Madhya Pradesh",1,81,60.22,B.Com,Financial Modeling Certificate,SAP Basics; IBM: Data Analyst,Computer Science,English; Hindi,Data Analysis; SQL; Marketing; Problem Solving,6,"Gurugram, Haryana",Published a project report,Mobile app for local services,Math Olympiad State Level,Magazine article on Finance,Patent on Sensor Design,26932,10,IT,Remote,miraan03@rattan.com,5587170134,2025-10-31
RELIANCE RETAIL VENTURES LIMITED,"Noida, Uttar Pradesh",85,78.2,62.79,B.Com,Cisco CCNA,IBM: Data Analyst; AWS Fundamentals,Marketing,Malayalam; English; Bengali,Tableau; Customer Service; JavaScript,0,"Ahmedabad, Gujarat",Internship at local startup,NLP sentiment analysis on reviews; Chatbot for FAQs,Case Study Competition,No publications,No patents,17774,4,HR,Remote,khushi45@ramanathan-garg.com,8483678475,2025-12-02
EASTERN COALFIELDS LTD,"New Delhi, Delhi",64,89.13,78.97,B.Com,Financial Modeling Certificate,None,Data Science,Gujarati; Tamil,R; Power BI,0,"Gurugram, Haryana",Published a project report,Customer segmentation analysis; Sales forecasting model,Business Plan Runner-up,Magazine article on Finance,Patent on Process Optimization,33164,9,R&D,Hybrid,akrishnamurthy@chauhan.net,5283798657,2025-11-16
PI INDUSTRIES LIMITED,"Pune, Maharashtra",68,89.89,82.9,B.A.,None,,Electrical,Tamil; Bengali; Oriya,Data Analysis; HTML/CSS; C++; R; JavaScript,12,"Pune, Maharashtra",Published a project report,Sales forecasting model,Case Study Competition,Whitepaper on Supply Chain,Patent pending on Algorithm,7065,5,HR,Hybrid,badaldayal@bhargava.com,8828468168,2026-02-21
KEC INTERNATIONAL LIMITED,"Ahmedabad, Gujarat",88,62.54,58.54,B.E.,Lean Six Sigma Yellow Belt,SAP Basics; Google: Digital Marketing,Chemical,Tamil; Telugu; English,Data Analysis; Power BI; Tableau; C++,0,"New Delhi, Delhi",Published a project report,Supply chain dashboard; IoT based monitoring system,Design Challenge Participant,Whitepaper on Supply Chain,No patents,25098,2,IT,Remote,btoor@ray.biz,2209277226,2025-12-16
K.P.R. MILL LIMITED,"Noida, Uttar Pradesh",61,78.39,71.95,B.Sc.,Cisco CCNA,,Computer Science,Tamil; Bengali; English,Data Analysis; C++,12,"New Delhi, Delhi",Won college hackathon,Supply chain dashboard; Customer segmentation analysis,Business Plan Runner-up,No publications,Patent pending on Algorithm,34651,6,R&D,Hybrid,krish02@subramaniam.net,6395461255,2026-01-29
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"Visakhapatnam, Andhra Pradesh",95,85.25,65.27,BBA,None,Udemy: Web Development; Google: Digital Marketing,Computer Science,Marathi,Tableau; HTML/CSS,12,"Visakhapatnam, Andhra Pradesh",Internship at local startup,Supply chain dashboard; NLP sentiment analysis on reviews,None,Whitepaper on Supply Chain,Patent on Sensor Design,22717,11,Consulting,Hybrid,shanayasur@trivedi-banik.com,56228223,2025-11-25
SBI FUNDS MANAGEMENT LIMITED,"Ahmedabad, Gujarat",75,85.85,51.35,Diploma,Financial Modeling Certificate,None,Computer Science,Gujarati; Tamil,Customer Service; Java; Marketing; Communication; C++,6,"Visakhapatnam, Andhra Pradesh",Developed a forecasting model,Chatbot for FAQs; Automated invoice processing,None,Magazine article on Finance,Patent on Sensor Design,23426,5,Consulting,Hybrid,obatra@bansal.com,25573756,2026-01-09
THE NEW INDIA ASSURANCE COMPANY LIMITED,"Hyderabad, Telangana",97,59.57,82.03,B.A.,Cisco CCNA,,Electrical,English; Kannada,Machine Learning; Marketing; Power BI,12,"Gurugram, Haryana",Developed a forecasting model,Customer segmentation analysis; Mobile app for local services,Coding Contest Top 10,Whitepaper on Supply Chain,Patent on Sensor Design,27680,3,R&D,Remote,gargpranay@kaur-solanki.net,288871782,2026-02-16
AMERICAN EXPRESS(INDIA) PRIVATE LIMITED,"Visakhapatnam, Andhra Pradesh",72,79.05,82.16,B.Com,Financial Modeling Certificate,Advanced Excel,Chemical,Malayalam; Kannada,C++; Python; R,0,"Kolkata, West Bengal",Developed a forecasting model,Supply chain dashboard,Coding Contest Top 10,Journal article on Renewable Energy,Patent on Sensor Design,6741,2,Data Analytics,Remote,darshit99@rattan.net,1548080771,2025-10-17
PNC INFRATECH LIMITED,"Lucknow, Uttar Pradesh",97,80.42,87.32,B.A.,Lean Six Sigma Yellow Belt,None,Electrical,Kannada; Telugu; Gujarati,JavaScript; HTML/CSS; Customer Service,24,"Gurugram, Haryana",Published a project report,Mobile app for local services; Supply chain dashboard,Design Challenge Participant,Whitepaper on Supply Chain,No patents,25961,9,Finance,Remote,indrajit44@chaudhari-tripathi.com,6523464552,2025-11-06
JAQUAR AND COMPANY PRIVATE LIMITED,"Thiruvananthapuram, Kerala",96,70.1,84.35,BBA,Cisco CCNA,None,Civil,English; Tamil; Malayalam,JavaScript; Communication,0,"Ahmedabad, Gujarat",No notable achievements,Chatbot for FAQs; Energy consumption optimization project,Math Olympiad State Level,Conference Paper on ML,Patent on Sensor Design,17722,4,Design,Onsite,deyprerak@sama.biz,180321726,2025-10-21
ADOBE SYSTEMS INDIA PRIVATE LIMITED,"Chennai, Tamil Nadu",75,84.26,57.02,B.E.,Lean Six Sigma Yellow Belt,IBM: Data Analyst; AWS Fundamentals,Electronics,Punjabi; Marathi,Machine Learning; HTML/CSS; Python,6,"Mumbai, Maharashtra",No notable achievements,Customer segmentation analysis; Sales forecasting model,Hackathon Winner,Conference Paper on ML,Patent pending on Algorithm,17162,1,Design,Remote,tripathidarshit@kurian-sodhi.com,3778181056,2026-01-25
MALABAR GOLD LIMITED,"Gurugram, Haryana",76,75.66,83.49,BBA,Certified Data Analyst,,Electrical,Bengali,Power BI; Marketing; Sales,0,"Thiruvananthapuram, Kerala",Published a project report,Sales forecasting model,Case Study Competition,No publications,Patent on Process Optimization,12307,11,Operations,Hybrid,mannat31@sen.info,4886120554,2025-11-26
TRIDENT LIMITED,"Jaipur, Rajasthan",63,62.99,79.87,Bsc.,Financial Modeling Certificate,Coursera: Data Science,Chemical,Malayalam; Gujarati; Punjabi,Tableau; HTML/CSS,0,"Jaipur, Rajasthan",No notable achievements,IoT based monitoring system,Design Challenge Participant,Whitepaper on Supply Chain,Patent pending on Algorithm,34972,11,Marketing,Remote,mannat18@gulati.biz,3167525763,2026-01-27
BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED,"Pune, Maharashtra",74,94.23,72.26,B.A.,Lean Six Sigma Yellow Belt,SAP Basics; IBM: Data Analyst,Electrical,Punjabi; English,Machine Learning; Customer Service,0,"Chennai, Tamil Nadu",Published a project report,NLP sentiment analysis on reviews; E-commerce recommendation engine,Hackathon Winner,No publications,Patent pending on Algorithm,29258,10,Consulting,Onsite,syogi@sarma-kaul.biz,1982107887,2026-02-24
WNS GLOBAL SERVICES PRIVATE LIMITED,"Hyderabad, Telangana",100,66.44,65.11,B.Sc.,Financial Modeling Certificate,Google: Digital Marketing,Civil,Kannada; English,HTML/CSS; Power BI,6,"Noida, Uttar Pradesh",Internship at local startup,Automated invoice processing; Customer segmentation analysis,Coding Contest Top 10,Journal article on Renewable Energy,Patent pending on Algorithm,24049,12,Operations,Hybrid,tooradah@borde.info,6145374286,2025-11-29
ADANI TOTAL GAS LIMITED,"Chennai, Tamil Nadu",71,71.16,60.27,BBA,Certified Data Analyst,None,Computer Science,Gujarati,Power BI; Python,6,"Bhopal, Madhya Pradesh",Developed a forecasting model,E-commerce recommendation engine,Design Challenge Participant,No publications,Patent pending on Algorithm,9680,12,Data Analytics,Onsite,tarinisheth@salvi.info,1137177659,2025-12-02
SHELL ENERGY INDIA PRIVATE LIMITED,"Ahmedabad, Gujarat",84,64.3,88.08,B.A.,Financial Modeling Certificate,,Data Science,Malayalam; Tamil; Bengali,Machine Learning; Tableau; Power BI; Marketing,0,"Mumbai, Maharashtra",No notable achievements,E-commerce recommendation engine; IoT based monitoring system,Hackathon Winner,Conference Paper on ML,Patent on Process Optimization,11208,12,R&D,Onsite,msabharwal@yadav.com,5667158117,2025-12-02
STERLITE TECHNOLOGIES LIMITED,"Visakhapatnam, Andhra Pradesh",79,95.44,53.52,B.Tech,Oracle Certified,None,Marketing,Gujarati,JavaScript; Python; R; Communication,0,"Visakhapatnam, Andhra Pradesh",No notable achievements,Chatbot for FAQs,Coding Contest Top 10,Conference Paper on ML,Patent pending on Algorithm,25656,8,Finance,Hybrid,oorjarana@bal.biz,1162593014,2025-12-05
IRCON INTERNATIONAL LIMITED,"Ahmedabad, Gujarat",84,97.77,56.36,BBA,Cisco CCNA,None,Data Science,Kannada,Customer Service; Problem Solving,6,"Kolkata, West Bengal",Won college hackathon,Customer segmentation analysis,Coding Contest Top 10,Conference Paper on ML,Patent pending on Algorithm,17958,12,HR,Remote,issacnayantara@baral-borah.com,7099287802,2026-02-03
KOTAK SECURITIES LIMITED,"Lucknow, Uttar Pradesh",63,57.46,60.62,B.Sc.,Lean Six Sigma Yellow Belt,,Marketing,English; Tamil; Oriya,JavaScript; Problem Solving; Tableau,12,"Lucknow, Uttar Pradesh",Won college hackathon,Customer segmentation analysis; E-commerce recommendation engine,Hackathon Winner,Whitepaper on Supply Chain,Patent on Process Optimization,26705,12,Operations,Hybrid,yashviswaminathan@jaggi-kapadia.com,67149348,2025-11-09
WELSPUN LIVING LIMITED,"Gurugram, Haryana",87,78,79.37,Bsc.,Cisco CCNA,SAP Basics,Electrical,Malayalam; Telugu,Power BI; C++; Customer Service; Tableau; R,24,"Bhopal, Madhya Pradesh",Developed a forecasting model,Mobile app for local services,None,Magazine article on Finance,Patent pending on Algorithm,21144,8,Engineering,Onsite,sanghaahana@wali.com,6171522417,2026-02-14
JSW ENERGY (BARMER) LIMITED,"Chennai, Tamil Nadu",68,80.82,89.88,B.A.,Financial Modeling Certificate,Advanced Excel; Google: Digital Marketing,Electronics,English,Data Analysis; SQL; Problem Solving; MS Excel,0,"Gurugram, Haryana",Published a project report,E-commerce recommendation engine,Design Challenge Participant,Journal article on Renewable Energy,No patents,5946,6,Marketing,Onsite,mmajumdar@upadhyay.info,4677101842,2025-12-12
TAFE MOTORS AND TRACTORS LIMITED,"Bengaluru, Karnataka",72,88.23,57.26,B.Com,Financial Modeling Certificate,,Chemical,Hindi,Customer Service; Marketing; Data Analysis; Sales,12,"Bengaluru, Karnataka",No notable achievements,Customer segmentation analysis; Mobile app for local services,Math Olympiad State Level,Journal article on Renewable Energy,Patent on Sensor Design,16260,1,IT,Hybrid,jivintata@arya.com,5546048132,2026-01-09
WESTERN COALFIELDS LIMITED,"Ahmedabad, Gujarat",100,68.44,61.84,B.Com,None,None,Data Science,Malayalam,HTML/CSS; Power BI; R,12,"Hyderabad, Telangana",Published a project report,Customer segmentation analysis; NLP sentiment analysis on reviews,Hackathon Winner,Journal article on Renewable Energy,Patent pending on Algorithm,21382,1,Operations,Remote,rsharma@swamy-sahota.com,6569441436,2025-11-15
GHCL LIMITED,"Ahmedabad, Gujarat",95,88.44,55.36,B.A.,Certified Data Analyst,,Data Science,Hindi; English,Data Analysis; Problem Solving; MS Excel; Marketing,0,"Hyderabad, Telangana",Internship at local startup,Automated invoice processing; Mobile app for local services,Hackathon Winner,Conference Paper on ML,Patent on Process Optimization,20539,5,HR,Onsite,odada@wadhwa.com,3333647544,2026-02-11
MAX LIFE INSURANCE COMPANY LIMITED,"Bhopal, Madhya Pradesh",79,90.26,76.29,BBA,Certified Data Analyst,Advanced Excel; Google: Digital Marketing,Civil,Tamil,JavaScript; C++; Java,0,"New Delhi, Delhi",No notable achievements,Sales forecasting model,Design Challenge Participant,Conference Paper on ML,Patent pending on Algorithm,26620,2,Design,Onsite,lakshay03@lad.com,4239374030,2025-10-31
VMWARE SOFTWARE INDIA PRIVATE LIMITED,"Visakhapatnam, Andhra Pradesh",100,77.49,72.72,B.E.,Cisco CCNA,Advanced Excel; IBM: Data Analyst,Electrical,Marathi; Bengali; Malayalam,SQL; C++; Sales; Data Analysis; Python,0,"Bengaluru, Karnataka",No notable achievements,Chatbot for FAQs; NLP sentiment analysis on reviews,Business Plan Runner-up,Conference Paper on ML,No patents,16938,2,Design,Remote,jivin85@taneja.biz,2345860065,2026-01-05
GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Jaipur, Rajasthan",74,76.52,79.88,Bsc.,Oracle Certified,,Biotechnology,Marathi,SQL; Tableau; R; Sales,12,"Bhopal, Madhya Pradesh",No notable achievements,Chatbot for FAQs,None,Whitepaper on Supply Chain,Patent pending on Algorithm,13571,6,Finance,Hybrid,sidhucharvi@vaidya.biz,303019520,2026-01-22
STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Hyderabad, Telangana",84,89.05,63.29,B.Com,Cisco CCNA,Coursera: Data Science; AWS Fundamentals,Electronics,Hindi; Gujarati,R; Python; Data Analysis; MS Excel; HTML/CSS,6,"Bengaluru, Karnataka",No notable achievements,Customer segmentation analysis,Case Study Competition,Conference Paper on ML,No patents,19894,8,Finance,Hybrid,prishabuch@kapadia-sampath.info,2335017896,2026-01-30
PRESTIGE ESTATES PROJECTS LIMITED,"Noida, Uttar Pradesh",66,62.33,63.54,B.A.,None,NPTEL: Machine Learning,Computer Science,Punjabi; Oriya; Kannada,Machine Learning; Marketing; Java; C++; Problem Solving,0,"Mumbai, Maharashtra",Won college hackathon,Energy consumption optimization project,Hackathon Winner,Journal article on Renewable Energy,Patent pending on Algorithm,6487,7,Marketing,Hybrid,neelofarkorpal@lanka.com,6628098286,2026-02-21
ABBOTT INDIA LIMITED,"Hyderabad, Telangana",63,64.81,75.23,B.Tech,Financial Modeling Certificate,,Marketing,Gujarati,HTML/CSS; Machine Learning,24,"Ahmedabad, Gujarat",Internship at local startup,Mobile app for local services; Chatbot for FAQs,Math Olympiad State Level,Whitepaper on Supply Chain,Patent on Process Optimization,24064,12,Finance,Onsite,vtrivedi@raval.com,8422652216,2025-12-02
MICROSOFT INDIA (R&D) PRIVATE LIMITED,"Pune, Maharashtra",84,65.57,74.67,B.A.,Financial Modeling Certificate,,Computer Science,Gujarati; Tamil; Marathi,Data Analysis; MS Excel,0,"Lucknow, Uttar Pradesh",Internship at local startup,IoT based monitoring system,Business Plan Runner-up,Whitepaper on Supply Chain,No patents,26750,4,Engineering,Onsite,sachdevzaina@joshi-kumer.com,9569265949,2026-02-22
PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,"Jaipur, Rajasthan",72,58.88,67.33,B.E.,Cisco CCNA,None,Chemical,Tamil; Malayalam,Sales; Machine Learning; Data Analysis,6,"Ahmedabad, Gujarat",Published a project report,Energy consumption optimization project; E-commerce recommendation engine,None,Journal article on Renewable Energy,Patent on Process Optimization,57,1,Operations,Onsite,pihu45@dhawan.com,5132387270,2025-10-15
SHYAM SEL AND POWER LIMITED,"Chennai, Tamil Nadu",70,76.96,75.18,BBA,Financial Modeling Certificate,None,Civil,Bengali; Punjabi; Malayalam,Tableau; SQL; MS Excel; Sales,6,"Chennai, Tamil Nadu",Developed a forecasting model,Mobile app for local services; Customer segmentation analysis,Math Olympiad State Level,No publications,Patent on Process Optimization,6732,7,Engineering,Hybrid,balanvardaniya@amble-contractor.com,3204573537,2026-01-08
THRIVENI EARTHMOVERS PRIVATE LIMITED,"Visakhapatnam, Andhra Pradesh",62,60.42,50.98,B.Com,None,Google: Digital Marketing,Finance,Kannada,Communication; Customer Service,24,"Pune, Maharashtra",Published a project report,Supply chain dashboard; Chatbot for FAQs,Coding Contest Top 10,Magazine article on Finance,Patent on Process Optimization,13351,6,Data Analytics,Onsite,aaryahi10@varughese-banik.org,3796750696,2026-01-01
